isotope,A0,cov A0,sigma_A0
59CUg,1000000.0,0.0,0.0
59NIg,0.0,0.0,0.0
60CUg,2785304.072513823,45565700667.39212,213461.23926228884
61CUg,2620850.7085617892,2004539018.4200912,44772.07855818279
62CUg,1000000.0,0.0,0.0
64CUg,416151.0220154626,137661663.48107842,11732.930728555351
60ZNg,24951173.841091443,3808792444467.4395,1951612.7803607557
60CUg,0.0,0.0,0.0
61ZNg,350320377.9933295,36593232535941.414,6049234.0453929715
61CUg,0.0,0.0,0.0
62ZNg,117722.82711606647,17828872.638863675,4222.4249713717445
62CUg,0.0,0.0,0.0
63ZNg,2159713.164249866,5938952634.33473,77064.60039690552
65ZNg,83.01804979468041,1.763955748541205,1.3281399581901017
55COg,2951906622631.8066,inf,inf
55FEg,0.0,,
56COg,10.49486527627347,5.3666858048899755,2.316610844507548
57COg,536.4534339517045,26.844001274139377,5.181119693091386
58COg,2420.4539140646757,2997.597158383203,54.7503165140002
60COg,18.30580086402655,0.00010321235682093097,0.010159348247842032
62COg,1000000.0,0.0,0.0
53FEg,12614296273.779934,inf,inf
53MNg,0.0,,
59FEg,7.02279820193911,66.55373541623042,8.158047279602542
54MNg,11.485846716580214,0.2472424730334372,0.49723482685089265
56NIg,155.98304559526684,2239.3452813424533,47.32172103107043
56COg,0.0,0.0,0.0
57NIg,2809.274499133759,1377578.4017845243,1173.702859238455
57COg,0.0,0.0,0.0
