isotope,A0,cov A0,sigma_A0
61CUg,362560.53078665555,34989836.13159979,5915.220717065407
55COg,48462.66690087756,8551353.76142628,2924.2697825998
55FEg,0.0,0.0,0.0
56COg,646.7400012183645,95.97593404600826,9.79673078358328
57COg,8891.66589133484,153926.57481155876,392.33477390050297
58COg,253.30225531493468,inf,inf
60COm1,1000000.0,inf,inf
60COg,0.0,,
62COg,1000000.0,inf,inf
62COm1,1000000.0,inf,inf
62COg,0.0,,
59FEg,1.9237000294551163,inf,inf
61FEg,1000000.0,inf,inf
61COg,0.0,,
49CRg,1000000.0,inf,inf
49Vg,0.0,,
56NIg,767.608062479194,31298.97718026937,176.9151694464592
56COg,0.0,0.0,0.0
57NIg,733298.7352092281,19350572870.944565,139106.33655928317
57COg,0.0,0.0,0.0
