isotope,A0,cov A0,sigma_A0
40Kg,2037.77599193529,27746.69148905189,166.57338169423076
177Wg,3382449.262697247,1946473847.458218,44118.86045058528
177TAg,0.0,0.0,0.0
175TAg,9876.36753909309,9587263.51095277,3096.3306527166587
175HFg,0.0,0.0,0.0
176TAg,16457.01718153604,27796896.07024802,5272.276175452877
177TAg,133757.82803202217,20513177.191252317,4529.147512639914
178TAg,90131912.2950663,1.2392258837023466e+16,111320522.98216832
180TAg,587614.3028637845,20335744308.084373,142603.45124885434
175HFg,118.56552682468839,70.16632245015721,8.376534035635336
