Cu_ad_mg_per_cm2,Cu_ad_unc_mg_per_cm2,Cu_NT_atoms_per_cm2,Cu_NT_unc_atoms_per_cm2
21.91,0.086,2.0763715112139234e+20,8.150066178201617e+17
22.24,0.04,2.107645020967488e+20,3.790728454977497e+17
22.25,0.07,2.1085927030812325e+20,6.63377479621062e+17
22.29,0.03,2.11238343153621e+20,2.8430463412331226e+17
22.31,0.02,2.1142787957636986e+20,1.8953642274887485e+17
22.23,0.06,2.1066973388537437e+20,5.686092682466245e+17
22.26,0.04,2.1095403851949772e+20,3.790728454977497e+17
22.2,0.02,2.1038542925125108e+20,1.8953642274887485e+17
22.09,0.04,2.0934297892613226e+20,3.790728454977497e+17
22.26,0.03,2.1095403851949772e+20,2.8430463412331226e+17
22.21,0.11,2.104801974626255e+20,1.0424503251188116e+18
22.18,0.06,2.1019589282850223e+20,5.686092682466245e+17
22.17,0.06,2.1010112461712776e+20,5.686092682466245e+17
22.12,0.11,2.096272835602556e+20,1.0424503251188116e+18
