Ni_ad_mg_per_cm2,Ni_ad_unc_mg_per_cm2,Ni_NT_atoms_per_cm2,Ni_NT_unc_atoms_per_cm2
23.079,0.034,2.3681204055212137e+20,3.4887167462940883e+17
23.091,0.016,2.369351717314023e+20,1.6417490570795706e+17
22.966,0.071,2.3565255528055888e+20,7.285261440790593e+17
22.982,0.048,2.3581673018626684e+20,4.925247171238712e+17
22.942,0.028,2.3540629292199694e+20,2.8730608498892486e+17
22.631,0.038,2.3221514319229855e+20,3.89915401056398e+17
22.529,0.032,2.3116852816841032e+20,3.283498114159141e+17
23.145,0.096,2.3748926203816663e+20,9.850494342477425e+17
22.662,0.015,2.3253323207210766e+20,1.5391397410120976e+17
23.107,0.024,2.3709934663711025e+20,2.462623585619356e+17
22.941,0.03,2.353960319903902e+20,3.078279482024195e+17
23.155,0.016,2.375918713542341e+20,1.6417490570795706e+17
23.153,0.038,2.375713494910206e+20,3.89915401056398e+17
23.067,0.026,2.3668890937284035e+20,2.667842217754302e+17
