filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,179Wg,30.7,223287.26955582306,15221.359789206841,0.18,0.009000000000000001,0.0012662219722168614,0.021581224159440346,1032084615.1414397,17590852230.93182,1343860.1759654162,22904755.50902581,898.7067033298555,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,172LUm,52.965,84.50418488419618,2093.1850927229016,0.1097,0.0024,0.0008412171520998881,0.0034714903426229654,964710.8475149223,24225671.722969286,1256.133916035055,31543.843389282923,589.3816373762094,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,172LUm,54.07,1531.9335500108953,35108.45463661901,0.19,0.004,0.0008188280039534259,0.0030815373573506674,10373548.246092245,240922550.4465849,13507.224278765943,313701.23756065744,589.3816373762094,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,175HFg,54.07,7369.8637709998675,542508.1660794122,0.461,0.024,0.0008188280039534259,0.0030815373573506674,20568354.05026112,1516049181.1697516,26781.71100294417,1974022.3713147808,589.3816373762094,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,173TAg,54.611,2177.1271640681025,227414.63681243605,0.344,0.025,0.0008081290079575331,0.002905198778363763,8250463.542285441,862323319.570631,10742.791070684169,1122816.8223575924,589.3816373762094,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,180TAg,54.611,17622.450879193835,412937.30072977685,0.203,0.008,0.0008081290079575331,0.002905198778363763,113167902.44338235,2682832191.894678,147354.03963982078,3493271.0831961953,589.3816373762094,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,176TAg,54.611,27499.140436811922,1128506.7038726222,0.264,0.01,0.0008081290079575331,0.002905198778363763,135790124.85856077,5593883546.54285,176810.05840958434,7283702.534561002,589.3816373762094,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,176TAg,55.79,36609.5283253509,498977.31554550776,0.456,0.016,0.0007854211795782662,0.0025517759551277153,107686279.92807429,1508860499.2264926,140216.51032301338,1964662.108367829,589.3816373762094,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,173TAg,55.79,223334.53847758466,500935.2389919182,0.59,0.04,0.0007854211795782662,0.0025517759551277153,507732499.7939506,2004810082.7790728,661110.0257733732,2610429.795285251,589.3816373762094,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,180TAg,55.79,100640.02926781468,124964.77519056233,0.35000000000000003,0.013999999999999999,0.0007854211795782662,0.0025517759551277153,385685927.90767044,1341552698.8818262,502195.21862977924,1746813.4100023778,120.79985490826785,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,178W,56.28,100543.97831401342,588101.4575187347,0.071,0.013999999999999999,0.0007762310585772335,0.002416638829292863,1921942509.4521286,12740697909.492443,2502529.309182459,16589450.402984953,120.79985490826785,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,179Wg,56.28,188740.13245200508,698582.8896634628,0.223,0.005,0.0007762310585772335,0.002416638829292863,1148687958.3480554,5555746394.97049,1495687.4457656972,7234044.785117826,120.79985490826785,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,178W,57.535,150361.27008136665,487112268553.89075,0.12300000000000001,0.024,0.0007533629783110926,0.0020993217873919727,1709465307.2187116,5538005387711749.0,2225866.2854410307,7210944515249.673,120.79985490826785,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,179Wg,57.535,237958.21223157318,487100946735.0126,0.386,0.008,0.0007533629783110926,0.0020993217873919727,862070552.2488817,1764660182202690.8,1122487.6982407314,2297734612243.087,120.79985490826785,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,177Wg,57.535,84506.65903828229,473850485.03507835,0.73,0.03,0.0007533629783110926,0.0020993217873919727,161881600.4885627,907711714758.8326,210783.3339694827,1181916295.2588966,120.79985490826785,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,179Wm,57.981,105677.73467186638,359578.13358956843,0.156,0.013000000000000001,0.0007454688589989916,0.001995878421285927,957333116.2488841,4145679650.7461815,1246527.4951157344,5398020.378575757,120.79985490826785,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,179Wm,59.318,1.6058695105801647e-12,164.77687123834264,0.268,0.022000000000000002,0.0007225332529329898,0.0017124194451123528,8.736778210193937e-09,896473.1995310017,1.1376013294523355e-11,1167.282811889325,8.994827406687806,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,180TAg,59.318,2.862235422726068e-15,150.96462582078402,0.0034000000000000002,0.0009,0.0007225332529329898,0.0017124194451123528,1.2274456965163169e-09,64739915.807984784,1.5982365840056209e-12,84296.76537498018,8.994827406687806,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,176TAg,62.985,2260.9634888422606,5364979.671573693,0.051100000000000007,0.0018,0.0006651107534420081,0.0011079276475549457,70082949.51053312,166297993756.9423,91253.84050850668,216533846.03768528,300.6366340506777,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,180TAg,62.985,8851.497455519353,8032685.801835169,0.0393,0.0016,0.0006651107534420081,0.0011079276475549457,356749949.79572135,323749185007.3956,464518.1637965122,421548417.9783797,300.6366340506777,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,173TAg,62.985,13165.77109139447,425029.47129384015,0.067,0.005,0.0006651107534420081,0.0011079276475549457,311251332.5157876,10061495175.517084,405275.1725465984,13100905.176454537,300.6366340506777,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,176TAg,63.243,6260.778161231266,3566394.909017367,0.099,0.004,0.0006613630963701396,0.0010734303414173584,100736499.36473382,57383856853.01681,131167.31688116383,74718563.61069897,300.6366340506777,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,180TAg,63.243,1551.124432316933,573939.9739542237,0.076,0.003,0.0006613630963701396,0.0010734303414173584,32510734.405171506,12029589199.527462,42331.6854234004,15663527.603551382,300.6366340506777,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,173TAg,63.243,7825.39349905145,47433.993243640994,0.128,0.009000000000000001,0.0006613630963701396,0.0010734303414173584,97384524.79414524,611135370.0728724,126802.76665904328,795749.1797823859,300.6366340506777,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,180TAg,64.942,17737.608019056708,267339.21737598366,0.0259,0.001,0.0006375983652523827,0.0008681110132749421,1131570940.5936162,17124414346.010948,1473399.6622312712,22297414.51303509,300.6366340506777,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,176TAg,64.942,121330.96033634772,267497.860970112,0.0337,0.0012,0.0006375983652523827,0.0008681110132749421,5948784424.651223,15416112826.605394,7745813.05293128,20073063.576309107,300.6366340506777,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,179Wg,64.948,19649.938598894376,6765771.642389776,0.0435,0.0009,0.0006375171996918291,0.000867448937606048,746472350.916624,257023750190.65155,971969.2069226875,334666341.39407754,10.755147026492047,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,178W,64.948,80388.96211036101,238059.70361383053,0.013999999999999999,0.003,0.0006375171996918291,0.000867448937606048,9488775497.778904,30990593082.73453,12355176.429399615,40352334.74314392,10.755147026492047,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,179Wg,65.222,43262.195670452566,7349867.174098305,0.0842,0.0018,0.0006338309078403571,0.0008376563694143719,853997785.1766784,145091115943.93088,1111976.2827821334,188920723.88532665,10.755147026492047,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,178W,65.222,66852.44782809028,379391.7958022211,0.027000000000000003,0.005,0.0006338309078403571,0.0008376563694143719,4115416819.5933056,23992281685.210266,5358615.650512117,31239950.11095087,10.755147026492047,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,179Wm,66.95,22658.490073359637,17454.247426169917,0.0305,0.0025,0.0006114769432946756,0.0006684437610815522,1279925619.6853344,1714888983.8084261,1666569.8172986126,2232928.364333888,10.755147026492047,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,178W,66.982,17391.15151945354,39327.24134012855,0.0092,0.0018,0.0006110771987149356,0.0006655944413887818,3258953202.356926,8204778397.45335,4243428.648902248,10683305.205017382,10.755147026492047,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,179Wg,66.982,1091.7051849390036,5240.742523233037,0.028900000000000002,0.0006,0.0006110771987149356,0.0006655944413887818,65124611.093481004,320586706.3923285,84797.67069463672,417430.6072816777,10.755147026492047,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,179Wm,67.244,9989.97781899179,19797.336832205943,0.059000000000000004,0.005,0.0006078232756150417,0.0006426290179282286,293473490.41596675,659649825.1890717,382126.94064579,858919.0432149371,10.755147026492047,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,172LUm,67.35,30642.948129794437,2133.07198894653,0.504,0.008,0.0006065163711560269,0.0006335192805090195,105606627.39798754,110567415.50521304,137508.62942446294,143967.98893907949,94.3910596293983,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,179Wm,69.067,0.9434115033376819,245.85381750471328,0.0204,0.0017000000000000001,0.0005860953416854909,0.0004995809601992351,83125.91181102341,21662967.362522524,108.23686433727006,28206.988753284535,94.3910596293983,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,173TAg,69.7,7.751280933169114e-05,245.82820975301644,0.059000000000000004,0.009000000000000001,0.0005789110287620642,0.0004562001115213772,2.3908004793706126,7582310.680835858,0.0031130214575138186,9872.80036567169,94.3910596293983,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,177Wg,70.45,376.5844178877847,461.1543969091642,0.059000000000000004,0.005,0.0005706268907058688,0.0004086696216573842,11783974.451385055,16757791.957046246,15343.71673357429,21820.0416107373,94.3910596293983,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,176TAg,88.35,5136.7649432380385,552.909360688278,0.11900000000000001,0.0059499999999999996,0.00043030572906163167,8.633671010874879e-05,105681579.37355754,24680010.87056317,137606.22314265303,32135.430821045797,31.03420745529235,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,173TAg,90.3,7.189173204084415,112.4832270228787,0.05,0.006999999999999999,0.0004199795910734745,9.328376473383502e-05,360673.6774330759,5645569.015349466,469.6271841576509,7351.001322069617,31.03420745529235,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,178LUg,93.179,8212.027518836536,2745.00429723002,0.06,0.03,0.0004059780581079212,9.976291676337127e-05,355165093.33198726,230786627.24878377,462454.54860935843,300503.42089685384,1.8341739945230826,09/24/2025 17:27:21,729.0,768.0
Data/LEPS/BY09242025_Ta06_20cm_LEPS.Spe,180TAg,93.324,6712.474842739758,2741.8607389654535,0.0451,0.002255,0.00040530932433201526,9.997480869874207e-05,386859464.1047802,185668890.7886515,503723.2605530992,241756.36821438998,1.8341739945230826,09/24/2025 17:27:21,729.0,768.0
