filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
Data/DET2/CR09242025_Ta01_80cm_DET2.Spe,172HFg,23.9331,1611.3309170069822,142.35779230531148,0.203,0.017,0.00018575585597498993,0.00014182666438663976,48514232.3598157,37528455.620279096,34628.28862228101,26786.906224324837,2.18749321686312,09/24/2025 23:03:47,1234.0,1401.0
Data/DET2/CR09242025_Ta01_80cm_DET2.Spe,175HFg,52.965,2209.785718789264,259901101.15664455,0.266,0.013999999999999999,0.0002112323242405774,9.412003126148083e-05,44650993.21609557,5251569057584.46,31870.801724550725,3748443295.9203854,27501.138976606846,09/24/2025 23:03:47,1234.0,1401.0
Data/DET2/CR09242025_Ta01_80cm_DET2.Spe,172HFg,52.965,39578.855657570035,21299643.29981418,0.36,0.04,0.0002112323242405774,9.412003126148083e-05,590912708.7114837,318004002154.43835,421779.2353401026,226983584.69267547,27501.138976606846,09/24/2025 23:03:47,1234.0,1401.0
Data/DET2/CR09242025_Ta01_80cm_DET2.Spe,172LUm,54.07,2771.228269628956,126408397105.92165,0.19,0.004,0.00021307799047493373,9.115236813525352e-05,77714683.55612358,3544922187604138.0,55470.866207083214,2530279934050.063,27501.138976606846,09/24/2025 23:03:47,1234.0,1401.0
Data/DET2/CR09242025_Ta01_80cm_DET2.Spe,175HFg,54.07,6115.293491677928,127078014898.07779,0.461,0.024,0.00021307799047493373,9.115236813525352e-05,70680687.12512167,1468770292663107.8,50450.16925419105,1048372799902.2897,27501.138976606846,09/24/2025 23:03:47,1234.0,1401.0
Data/DET2/CR09242025_Ta01_80cm_DET2.Spe,172HFg,54.07,56481.688627756965,221119322.62064832,0.63,0.06,0.00021307799047493373,9.115236813525352e-05,477695891.52838415,1870124551542.7554,340967.8026612307,1334849786.9684193,27501.138976606846,09/24/2025 23:03:47,1234.0,1401.0
Data/DET2/CR09242025_Ta01_80cm_DET2.Spe,180TAg,54.611,11497.906541580745,1097480236782.5424,0.203,0.008,0.00021400896981938977,8.966866734196363e-05,300478730.33115464,2.868082697657901e+16,214474.4684733438,20471682353018.562,27501.138976606846,09/24/2025 23:03:47,1234.0,1401.0
Data/DET2/CR09242025_Ta01_80cm_DET2.Spe,178TAg,54.611,62826.62918480224,1129783858966.6367,0.222,0.016,0.00021400896981938977,8.966866734196363e-05,1501349431.9590833,2.6998111738683132e+16,1071627.003539674,19270600812764.547,27501.138976606846,09/24/2025 23:03:47,1234.0,1401.0
Data/DET2/CR09242025_Ta01_80cm_DET2.Spe,177TAg,54.611,286724.2199623677,143355812280.75345,0.239,0.019,0.00021400896981938977,8.966866734196363e-05,6364400161.798243,3182060291224878.0,4542755.290362772,2271277866684.424,27501.138976606846,09/24/2025 23:03:47,1234.0,1401.0
Data/DET2/CR09242025_Ta01_80cm_DET2.Spe,178W,57.535,426377.9605286418,924039718675.3434,0.12300000000000001,0.024,0.00021930793658140634,8.12911599445168e-05,17945611572.27746,3.889145172547125e+16,12809144.591204466,27759779961078.69,16891.66161179338,09/24/2025 23:03:47,1234.0,1401.0
