filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
Data/DET2/DJ09252025_Ta04_30cm_DET2.Spe,176LUm,88.361,8408.776113244487,812.6776751232804,0.08900000000000001,0.004,0.0019237978281035713,6.534157371159305e-05,51177892.5068513,5752223.088922996,20061.894357840574,2254.8894899737343,36.90563028894176,09/25/2025 08:05:04,2448.0,2551.0
Data/DET2/DJ09252025_Ta04_30cm_DET2.Spe,178TAg,93.13,15672.540519215687,277904.07303046266,0.066,0.019,0.0019034062230549012,5.8035099560982535e-05,130005889.191944,2305560113.475717,50962.71626497217,903786.7947768393,36.90563028894176,09/25/2025 08:05:04,2448.0,2551.0
Data/DET2/DJ09252025_Ta04_30cm_DET2.Spe,178LUg,93.179,12228.20176394924,188788.3424780211,0.06,0.03,0.0019031935546909445,5.79596042408812e-05,111590553.67605399,1723727318.9494157,43743.8469917891,675706.5146802884,36.90563028894176,09/25/2025 08:05:04,2448.0,2551.0
Data/DET2/DJ09252025_Ta04_30cm_DET2.Spe,180TAg,93.324,12669.306491381232,111415.97210613782,0.0451,0.002255,0.001902563934434183,5.773617877797279e-05,153863669.57977498,1353133118.9294963,60315.04099559975,530432.4260797711,36.90563028894176,09/25/2025 08:05:04,2448.0,2551.0
Data/DET2/DJ09252025_Ta04_30cm_DET2.Spe,180TAg,103.6,4584.963014093432,257.3756972602184,0.0087,0.0024,0.0018578215853114507,4.211750357662066e-05,295604897.2639462,83600827.79357773,115878.04675184091,32771.786669375826,5.706569068385671,09/25/2025 08:05:04,2448.0,2551.0
Data/DET2/DJ09252025_Ta04_30cm_DET2.Spe,177TAg,112.9,29874.442050094483,258.82857964803185,0.07200000000000001,0.016,0.0018194692777774636,2.9715722919648446e-05,237641138.76676527,53009417.954452716,93156.07164514514,20779.85807701008,2.0609467828665284,09/25/2025 08:05:04,2448.0,2551.0
Data/DET2/DJ09252025_Ta04_30cm_DET2.Spe,177Wg,115.05,3031.635320315147,2431.313321151279,0.08,0.004,0.0018111249924286372,2.7420528791660363e-05,21804071.26088466,17527981.92882095,8547.264312381287,6871.023884288887,2.0609467828665284,09/25/2025 08:05:04,2448.0,2551.0
Data/DET2/DJ09252025_Ta04_30cm_DET2.Spe,177Wg,115.65,24241.574103487572,2440.096079275694,0.47000000000000003,0.06,0.0018088362599830035,2.683883225672825e-05,29714111.508440472,4854444.188295698,11648.02489550783,1902.9573454706774,2.0609467828665284,09/25/2025 08:05:04,2448.0,2551.0
Data/DET2/DJ09252025_Ta04_30cm_DET2.Spe,177Wg,142.6,697.9684776386457,61.98591250062021,0.0126,0.0012,0.0017174044219575905,3.288348674772337e-05,33611797.02453378,4603305.331946719,13175.92984105597,1804.5101262041237,1.2441578785244156,09/25/2025 08:05:04,2448.0,2551.0
Data/DET2/DJ09252025_Ta04_30cm_DET2.Spe,177Wg,155.95,1857.8904331267015,166.0114868122023,0.036000000000000004,0.003,0.0016730894436921965,3.969760712888991e-05,32143819.725847494,4069711.2115936237,12600.47813635731,1595.3395576611617,6.4636324650706065,09/25/2025 08:05:04,2448.0,2551.0
Data/DET2/DJ09252025_Ta04_30cm_DET2.Spe,177Wg,186.2,7367.160111980105,208.12528599916354,0.15,0.013000000000000001,0.0015583869643536422,3.668666488848555e-05,32842226.195341133,3115537.1356122177,12874.255662619025,1221.30032756261,0.6984271038508832,09/25/2025 08:05:04,2448.0,2551.0
Data/DET2/DJ09252025_Ta04_30cm_DET2.Spe,177Wg,186.42,218.84242089688607,186.9995779131562,0.073,0.00365,0.0015575023890075724,3.660948463476353e-05,2005760.036192936,1722832.6600928453,786.2642243014253,675.3558056028402,0.6984271038508832,09/25/2025 08:05:04,2448.0,2551.0
Data/DET2/DJ09252025_Ta04_30cm_DET2.Spe,177TAg,208.4,3375.7727708872885,92.5732808184388,0.0094,0.002,0.0014675834997464892,2.8032296559198756e-05,255000820.0575036,55095782.58216409,99961.12115151063,21597.719553964755,1.6893785401841077,09/25/2025 08:05:04,2448.0,2551.0
Data/DET2/DJ09252025_Ta04_30cm_DET2.Spe,179LUg,214.33,7320.50868016745,122.13551112184541,0.12,0.03,0.001443130174480039,2.5764061808454655e-05,44050774.80158484,11077143.906985164,17268.04186655619,4342.275149739382,1.6893785401841077,09/25/2025 08:05:04,2448.0,2551.0
Data/DET2/DJ09252025_Ta04_30cm_DET2.Spe,180HFm,215.426,209.07924814500552,72.56809562871247,0.816,0.02,0.0014386187276845524,2.5357948338535235e-05,185598.34810028755,65923.14287214752,72.75513449638869,25.84207874251177,1.6893785401841077,09/25/2025 08:05:04,2448.0,2551.0
Data/DET2/DJ09252025_Ta04_30cm_DET2.Spe,177Wg,223.23,1020.6321408586607,93.17275322739204,0.020499999999999997,0.0016,0.0014066440235949232,2.2610824162451777e-05,36883338.073263824,4616095.182333066,14458.384191792953,1809.5237876648632,2.9645123428187214,09/25/2025 08:05:04,2448.0,2551.0
Data/DET2/DJ09252025_Ta04_30cm_DET2.Spe,177Wg,259.25,396.14607917876447,44.094483896094935,0.0086,0.0008,0.0012673447601063495,1.3651951294136431e-05,37875744.84645098,5828842.115637726,14847.410759094855,2284.9243887250987,1.1517430612057484,09/25/2025 08:05:04,2448.0,2551.0
Data/DET2/DJ09252025_Ta04_30cm_DET2.Spe,177Wg,271.02,1811.3659502788394,57.87014904603941,0.037000000000000005,0.003,0.001226920934329823,1.1837662928031606e-05,41580235.4384755,3774422.2013104544,16299.582688543904,1479.585339596415,1.067875949549543,09/25/2025 08:05:04,2448.0,2551.0
Data/DET2/DJ09252025_Ta04_30cm_DET2.Spe,177Wg,280.8,389.79862555290407,46.80252582724284,0.008100000000000001,0.001,0.001195296411534194,1.0672137880550566e-05,41954515.87541202,7540518.836098403,16446.301793575858,2955.907031006822,1.409743857944291,09/25/2025 08:05:04,2448.0,2551.0
Data/DET2/DJ09252025_Ta04_30cm_DET2.Spe,177Wg,308.25,397.91611095936645,48.645008610815985,0.0086,0.0013000000000000002,0.001115064954219921,8.714892122711028e-06,43240623.825471334,8687953.097777488,16950.460143265907,3405.704859967655,1.4624294757594918,09/25/2025 08:05:04,2448.0,2551.0
Data/DET2/DJ09252025_Ta04_30cm_DET2.Spe,177Wg,311.28,539.926109557839,50.401084760362664,0.012700000000000001,0.0016,0.0011069142420904346,8.588205632080638e-06,40023556.5737596,6515142.2997538205,15689.359691791298,2553.956213153203,1.4624294757594918,09/25/2025 08:05:04,2448.0,2551.0
