name,compound,areal_density,mu_E,sig_E
Ni08,Ni,23.145,29.864464299999998,0.5632311614475091
Sn08,Sn,8.047,29.69275538,0.5556679665781136
Ta08,Ta,27.227,29.544344999999996,0.5641729743394308
Cu08,Cu,22.197,29.309374379999998,0.5691564566967642
Al_degrader_E2_E1,Al,136.6,28.24552781142857,0.8551145557263633
Ni09,Ni,22.662,27.15031134,0.6058299030812233
Sn09,Sn,7.829,26.969856719999996,0.5985315439229929
Ta09,Ta,27.377,26.81123696,0.6081213953890773
Cu09,Cu,22.091,26.55869822,0.6140514263226099
Al_degrader_E4_E3,Al,136.6,25.405723297499996,0.9199477009948589
Ni10,Ni,23.107,24.2096118,0.6624834027360685
Sn10,Sn,8.232,24.00755616,0.6550079502159148
Ta10,Ta,27.165,23.8339039,0.6658151611106419
Cu10,Cu,22.259,23.55821382,0.6737387475579889
Al_degrader_E6_E5,Al,136.6,22.28339184,1.005833710183455
Ni11,Ni,22.941,20.95368066,0.7406140638294444
Sn11,Sn,7.982,20.731102679999996,0.7337143995430494
Ta11,Ta,27.2,20.539457480000003,0.7467821299897645
Cu11,Cu,22.211,20.23176108,0.757633093916332
Al_degrader_E8_E7,Al,136.6,18.782153824615378,1.1363867062253412
Ni12,Ni,23.155,17.24915798,0.8613386526809996
Sn12,Sn,8.021,16.98911546,0.8559149441322943
Ta12,Ta,27.702,16.764833359999997,0.8736976105215755
Cu12,Cu,22.177,16.40431856,0.8904332790498828
Al_degrader_E9,Al,68.3,15.459032693999998,1.0397405656408247
Ni13,Ni,23.153,14.455853715,0.9832166837074616
Sn13,Sn,7.354,14.163824640000001,0.983669844678015
Ta13,Ta,27.337,13.9163397,1.0067433232974083
Cu13,Cu,22.168,13.505048475,1.0301383046466013
Al_degrader_E10,Al,68.3,12.389969229230768,1.2287054205917793
Ni14,Ni,23.067,11.184340427999999,1.1968871814021473
Sn14,Sn,7.62,10.82760276,1.210577430006186
Ta14,Ta,27.361,10.525093176,1.2443405528223506
Cu14,Cu,22.125,10.01765002,1.2937548747711058
